<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.23	07:45:00	3356.030	3358.770	3355.031	3357.627	1798	0	160
2025.06.23	08:00:00	3357.672	3362.371	3357.672	3359.653	2382	0	160
2025.06.23	08:15:00	3359.712	3362.053	3359.386	3361.302	1588	0	160
2025.06.23	08:30:00	3361.260	3362.382	3359.278	3360.353	1511	0	160
2025.06.23	08:45:00	3360.396	3362.005	3358.880	3361.845	1943	0	160
2025.06.23	09:00:00	3361.780	3368.153	3361.571	3368.067	2323	0	160
2025.06.23	09:15:00	3368.097	3368.980	3364.871	3365.044	2261	0	160
2025.06.23	09:30:00	3365.077	3365.865	3361.803	3364.454	2255	0	160
2025.06.23	09:45:00	3364.452	3367.563	3364.452	3366.542	1648	0	160
2025.06.23	10:00:00	3366.608	3368.240	3363.947	3365.566	1902	0	160
2025.06.23	10:15:00	3365.581	3367.553	3365.426	3366.973	1611	0	160
2025.06.23	10:30:00	3366.999	3368.046	3366.016	3366.097	1339	0	160
2025.06.23	10:45:00	3366.088	3367.998	3364.725	3367.724	1500	0	160
2025.06.23	11:00:00	3367.766	3374.791	3367.766	3374.435	2453	0	160
2025.06.23	11:15:00	3374.471	3382.017	3374.471	3377.994	3559	0	160
2025.06.23	11:30:00	3378.045	3380.023	3375.823	3378.948	2256	0	160
2025.06.23	11:45:00	3378.989	3381.353	3376.520	3380.596	2182	0	160
2025.06.23	12:00:00	3380.627	3381.012	3368.624	3369.161	3304	0	160
2025.06.23	12:15:00	3369.122	3369.216	3359.885	3362.467	4518	0	160
2025.06.23	12:30:00	3362.442	3363.231	3355.889	3359.922	3391	0	160
2025.06.23	12:45:00	3359.948	3363.906	3359.155	3360.449	2803	0	160
2025.06.23	13:00:00	3360.430	3368.245	3359.726	3367.319	3569	0	160
2025.06.23	13:15:00	3367.341	3369.154	3366.303	3368.511	2704	0	160
2025.06.23	13:30:00	3368.542	3384.588	3368.319	3381.937	5859	0	160
2025.06.23	13:45:00	3381.973	3387.759	3378.820	3380.590	7184	0	160
2025.06.23	14:00:00	3380.534	3384.673	3369.786	3374.762	8643	0	160
2025.06.23	14:15:00	3374.825	3382.526	3374.825	3378.947	5456	0	160
2025.06.23	14:30:00	3378.922	3384.086	3377.643	3383.749	3490	0	160
2025.06.23	14:45:00	3383.797	3386.753	3383.059	3386.366	3140	0	160
2025.06.23	15:00:00	3386.402	3388.482	3384.499	3387.350	2962	0	160
2025.06.23	15:15:00	3387.325	3389.034	3386.401	3388.129	2215	0	160
2025.06.23	15:30:00	3388.178	3389.474	3385.917	3386.270	2303	0	160
2025.06.23	15:45:00	3386.277	3389.820	3386.002	3387.240	2274	0	160
2025.06.23	16:00:00	3387.233	3389.372	3386.969	3387.625	1931	0	160
2025.06.23	16:15:00	3387.658	3393.493	3387.239	3391.346	2366	0	160
2025.06.23	16:30:00	3391.346	3392.461	3380.473	3386.469	5878	0	160
2025.06.23	16:45:00	3386.507	3390.396	3383.252	3389.774	4833	0	160
2025.06.23	17:00:00	3389.813	3391.539	3384.834	3387.286	4660	0	160
2025.06.23	17:15:00	3387.307	3387.565	3375.598	3379.331	6069	0	160
2025.06.23	17:30:00	3379.361	3384.600	3378.340	3381.820	3183	0	160
2025.06.23	17:45:00	3381.909	3383.499	3380.156	3382.526	2434	0	160
2025.06.23	18:00:00	3382.553	3386.099	3378.966	3386.099	2730	0	160
2025.06.23	18:15:00	3385.991	3387.755	3383.374	3384.746	2532	0	160
2025.06.23	18:30:00	3384.764	3385.016	3376.836	3378.969	2672	0	160
2025.06.23	18:45:00	3378.962	3381.542	3378.347	3378.635	1871	0	160
2025.06.23	19:00:00	3378.665	3381.005	3378.013	3380.403	1900	0	160
2025.06.23	19:15:00	3380.358	3381.594	3379.559	3380.717	1405	0	160
2025.06.23	19:30:00	3380.673	3382.101	3378.724	3379.221	1598	0	160
2025.06.23	19:45:00	3379.183	3379.679	3375.676	3376.362	2188	0	160
2025.06.23	20:00:00	3376.320	3377.295	3373.946	3374.043	1382	0	160
2025.06.23	20:15:00	3373.988	3375.316	3371.935	3372.590	1362	0	160
2025.06.23	20:30:00	3372.556	3372.700	3367.236	3370.915	1705	0	160
2025.06.23	20:45:00	3370.914	3371.390	3367.271	3368.358	1637	0	160
2025.06.23	22:00:00	3365.986	3365.986	3356.315	3357.663	2929	0	160
2025.06.23	22:15:00	3357.689	3361.025	3350.421	3356.423	4260	0	160
2025.06.23	22:30:00	3356.489	3361.251	3355.572	3357.832	3174	0	160
2025.06.23	22:45:00	3357.816	3359.980	3354.023	3355.464	2268	0	160
2025.06.23	23:00:00	3355.435	3357.398	3350.274	3354.269	3735	0	160
2025.06.23	23:15:00	3354.245	3354.356	3348.953	3352.336	2696	0	160
2025.06.23	23:30:00	3352.394	3353.330	3342.659	3351.048	4185	0	160
2025.06.23	23:45:00	3351.002	3351.204	3341.510	3344.235	3537	0	160
2025.06.24	00:00:00	3344.270	3345.218	3333.143	3344.904	5555	0	160
2025.06.24	00:15:00	3344.930	3349.279	3344.511	3348.982	3659	0	160
2025.06.24	00:30:00	3348.932	3352.384	3348.441	3351.974	3156	0	160
2025.06.24	00:45:00	3351.948	3355.220	3350.058	3351.064	4523	0	160
2025.06.24	01:00:00	3351.054	3354.353	3346.820	3349.012	6914	0	160
2025.06.24	01:15:00	3349.043	3352.884	3348.790	3349.751	3422	0	160
2025.06.24	01:30:00	3349.662	3350.017	3342.612	3344.992	4130	0	160
2025.06.24	01:45:00	3344.958	3348.427	3342.201	3347.775	3073	0	160
2025.06.24	02:00:00	3347.738	3352.948	3347.053	3350.812	2610	0	160
2025.06.24	02:15:00	3350.773	3351.461	3345.840	3347.180	2393	0	160
2025.06.24	02:30:00	3347.180	3351.541	3347.090	3349.329	2325	0	160
2025.06.24	02:45:00	3349.389	3352.391	3348.878	3351.894	1702	0	160
2025.06.24	03:00:00	3351.903	3354.255	3351.509	3353.319	1529	0	160
2025.06.24	03:15:00	3353.290	3354.831	3351.591	3352.797	1610	0	160
2025.06.24	03:30:00	3352.729	3357.912	3352.347	3352.995	1890	0	160
2025.06.24	03:45:00	3352.938	3353.585	3351.564	3352.404	1501	0	160
2025.06.24	04:00:00	3352.403	3353.369	3347.724	3349.140	2423	0	160
2025.06.24	04:15:00	3349.262	3350.610	3348.426	3348.970	1368	0	160
2025.06.24	04:30:00	3348.935	3349.596	3347.077	3348.755	1480	0	160
2025.06.24	04:45:00	3348.748	3349.550	3348.269	3348.605	1058	0	160
2025.06.24	05:00:00	3348.534	3348.744	3341.310	3341.792	2234	0	160
2025.06.24	05:15:00	3341.829	3343.614	3337.768	3338.543	2738	0	160
2025.06.24	05:30:00	3338.512	3339.690	3332.000	3332.945	4294	0	160
2025.06.24	05:45:00	3332.990	3334.809	3326.552	3332.044	4979	0	160
2025.06.24	06:00:00	3332.103	3333.086	3324.449	3324.810	4959	0	160
2025.06.24	06:15:00	3324.776	3328.571	3321.946	3322.662	5038	0	160
2025.06.24	06:30:00	3322.706	3323.989	3316.022	3317.696	5395	0	160
2025.06.24	06:45:00	3317.652	3324.250	3316.891	3322.736	3483	0	160
2025.06.24	07:00:00	3322.814	3326.077	3316.536	3321.795	4819	0	160
2025.06.24	07:15:00	3321.744	3323.892	3319.415	3321.932	3378	0	160
2025.06.24	07:30:00	3322.033	3328.994	3321.829	3324.668	4341	0	160
2025.06.24	07:45:00	3324.629	3331.754	3322.742	3329.645	4514	0	160
2025.06.24	08:00:00	3329.658	3332.184	3326.179	3330.913	3348	0	160
2025.06.24	08:15:00	3330.950	3332.320	3325.658	3327.084	3156	0	160
2025.06.24	08:30:00	3327.046	3328.465	3324.880	3328.240	2104	0	160
2025.06.24	08:45:00	3328.243	3328.362	3324.631	3327.323	1901	0	160
2025.06.24	09:00:00	3327.298	3328.755	3322.649	3324.936	2236	0	160
2025.06.24	09:15:00	3324.845	3324.946	3319.550	3320.759	2386	0	160
2025.06.24	09:30:00	3320.698	3322.474	3319.163	3322.250	2156	0	160
